"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3","3","C_Polarized","","","","Capacitor_THT:CP_Radial_D17.0mm_P7.50mm","~"
"D1,D2","2","1N4448","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"J1","1","Blue Pill - 1","","","","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical","~"
"J2","1","Blue Pill - 2","","","","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical","~"
"J3","1","SIM800L","","","","Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical","~"
"J4","1","DS18B20","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"J5","1","DHT11","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"J6","1","FC-28","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"J7","1","MQ-02","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"J8,J9,J10,J11","4","Conn_01x01_Pin","","","","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical","~"
"J12","1","Conn_01x02_Socket","","","","Connector_AMASS:AMASS_XT30UPB-M_1x02_P5.0mm_Vertical","~"
"JP1","1","SolderJumper_3_Bridged12","","Excluded from BOM","","Connector_JST:JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal","~"
"Q1","1","IRF4905","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.infineon.com/dgdl/irf4905.pdf?fileId=5546d462533600a4015355e32165197c"
"Q2","1","2N3904","","","","Package_TO_SOT_THT:TO-92L_HandSolder","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24","24","R","","","","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal","~"
"SW1","1","SW_DIP_x05","","","","Button_Switch_THT:SW_DIP_SPSTx05_Slide_9.78x14.88mm_W7.62mm_P2.54mm","~"
"U1,U2","2","LM358","","","","Package_DIP:DIP-8_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf"
